listing_id,date
42515,2011-09-24
42515,2012-05-17
42515,2012-05-27
42515,2012-09-21
42515,2013-02-19
42515,2013-10-15
42515,2014-03-01
42515,2014-03-16
42515,2014-08-24
42515,2015-01-31
42515,2015-08-19
42515,2015-09-23
42515,2015-12-31
42515,2016-02-05
42515,2016-03-03
42515,2016-04-30
42515,2016-05-11
42515,2016-06-04
42515,2016-06-15
42515,2016-07-09
42515,2016-12-03
42515,2016-12-10
42515,2017-03-24
42515,2017-05-25
42515,2017-06-09
42515,2017-06-14
42515,2017-07-05
42515,2017-10-07
42515,2018-03-10
42515,2018-05-01
42515,2018-08-09
42515,2018-09-14
42515,2018-09-21
42515,2018-09-29
42515,2018-10-31
42515,2018-11-23
42515,2018-12-08
42515,2019-02-07
42515,2019-02-15
42515,2019-02-23
42515,2019-03-08
42515,2019-04-13
42515,2019-05-08
42515,2019-05-13
42515,2019-05-25
42515,2019-06-08
42515,2019-06-21
42515,2019-07-13
42515,2019-07-27
42515,2019-08-31
42515,2019-09-09
42515,2019-09-14
42515,2019-09-24
42515,2019-10-23
42515,2019-11-02
42515,2020-05-30
42515,2021-06-01
42515,2021-09-16
42515,2022-01-14
42515,2022-03-03
42515,2022-05-12
42515,2022-05-28
42515,2022-06-15
42515,2022-07-08
42515,2022-08-12
42515,2022-09-02
42515,2022-12-11
42515,2023-06-16
42515,2023-06-20
42515,2023-06-25
42515,2023-07-03
42515,2023-07-21
42515,2023-11-03
42515,2024-04-16
42515,2024-05-20
42515,2024-05-31
42515,2024-06-14
42515,2024-06-29
42515,2024-12-14
42515,2025-04-05
42515,2025-05-22
42515,2025-07-11
203997,2012-11-11
203997,2013-04-08
203997,2013-05-29
203997,2013-06-06
203997,2013-11-02
203997,2014-08-16
203997,2014-08-25
203997,2015-08-15
203997,2015-08-25
203997,2015-09-01
203997,2015-09-09
203997,2015-09-18
203997,2015-09-21
203997,2015-09-24
203997,2015-11-28
203997,2015-12-12
203997,2016-01-01
203997,2016-01-20
203997,2016-01-23
203997,2016-04-09
203997,2016-04-19
203997,2016-05-03
203997,2016-05-16
203997,2016-05-24
203997,2016-06-16
203997,2016-06-25
203997,2016-09-02
203997,2016-09-10
203997,2016-09-17
203997,2016-09-21
203997,2016-10-01
203997,2016-10-30
203997,2016-11-05
203997,2016-11-22
203997,2017-01-19
203997,2017-03-29
203997,2017-04-30
203997,2017-05-06
203997,2017-05-09
203997,2017-05-13
203997,2017-05-17
203997,2017-10-13
203997,2017-10-29
203997,2017-11-04
203997,2018-01-12
203997,2018-01-27
203997,2018-02-11
203997,2018-02-16
203997,2018-03-01
203997,2018-05-10
203997,2018-05-18
203997,2018-05-25
203997,2018-06-09
203997,2018-06-14
203997,2018-07-01
203997,2018-07-16
203997,2018-07-19
203997,2018-10-06
203997,2018-10-12
203997,2018-12-09
203997,2018-12-22
203997,2019-03-03
203997,2019-03-05
203997,2019-05-02
203997,2019-05-05
203997,2019-05-08
203997,2019-05-14
203997,2019-05-19
